,WORKSITE_STATE,entropy_norm
0,AK,0.6011256795957572
1,AL,0.6821423826349193
2,AR,0.28684287977849693
3,AZ,0.4324769566180235
4,CA,0.4175945192241521
5,CO,0.3884578657403303
6,CT,0.49523131585271185
7,DC,0.6776025348835781
8,DE,0.3514884284337633
9,FL,0.4614699141438459
10,GA,0.3026461965724678
11,GU,0.5064084567633594
12,HI,0.8711124380151025
13,IA,0.6190924720782881
14,ID,0.7724374378629444
15,IL,0.5355045846019333
16,IN,0.7137029419971946
17,KS,0.5686665184450924
18,KY,0.646214050719236
19,LA,0.6625419555851948
20,MA,0.5939726780177524
21,MD,0.5827058932429656
22,ME,0.7404676443683731
23,MI,0.5115583627174859
24,MN,0.44068476495910214
25,MO,0.4845213194060905
26,MP,0.9999999999999998
27,MS,0.7131962311776953
28,MT,0.8572649930640098
29,NC,0.3492974109576044
30,ND,0.7360263616249655
31,NE,0.5765298366042485
32,NH,0.3884170262074068
33,NJ,0.3871939314725732
34,NM,0.8183777082907828
35,NV,0.5341281608667711
36,NY,0.6308580000103976
37,OH,0.4915092383757635
38,OK,0.778279827426794
39,OR,0.49397937041195666
40,PA,0.4124272204623326
41,PR,0.8175195311866702
42,RI,0.5432120885987717
43,SC,0.5901946184936543
44,SD,0.7359803728781055
45,TN,0.5538925741401212
46,TX,0.3285349387349358
47,UT,0.6051269049254745
48,VA,0.36642585958301954
49,VI,0.8194483718728035
50,VT,0.7395961980660349
51,WA,0.25815862804050327
52,WI,0.6417814844516256
53,WV,0.5374042838446335
54,WY,0.8267880045938416
